Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
12.4,0.23,-1.54,0.67,-0.12,1.84,-2.31,0.05,-0.77,1.12,-3.04,0.29,-0.66,1.01,-0.45,0.78,-1.22,2.34,-0.89,0.56,-1.57,1.93,-0.31,0.12,-0.44,1.11,-0.98,0.67,-1.29,42.5,0
36.8,-0.15,0.64,-1.02,1.25,-0.72,2.11,-0.08,0.44,-0.96,1.78,-2.31,0.51,-0.28,1.23,-0.67,0.89,-1.54,0.33,-0.76,1.4,-0.41,0.95,-0.22,1.06,-0.34,0.77,-1.08,0.46,128.9,0
91.2,0.92,-0.46,1.14,-0.29,0.67,-0.83,1.05,-1.21,0.38,-0.52,1.72,-0.97,0.64,-1.08,0.27,-0.75,1.46,-0.33,0.89,-1.12,0.54,-0.61,1.04,-0.29,0.71,-0.82,1.18,-0.54,230.1,0
150.0,-1.23,0.97,-0.64,1.41,-0.98,0.52,-1.62,0.37,-0.45,1.08,-0.67,1.73,-0.29,0.86,-1.14,0.49,-0.92,1.27,-0.34,0.63,-0.77,1.11,-0.51,0.92,-1.02,0.58,-0.73,1.05,15.2,0
210.7,0.31,-0.89,1.22,-0.54,0.99,-1.33,0.72,-0.29,1.56,-0.84,0.41,-1.12,0.66,-0.57,1.28,-1.05,0.93,-0.44,1.04,-0.9,0.58,-0.77,1.15,-0.33,0.79,-1.18,0.64,-0.92,320.75,0
276.4,-0.88,1.14,-0.37,0.58,-1.23,0.95,-0.49,1.07,-0.66,0.21,-0.41,1.28,-0.77,0.92,-1.43,0.63,-0.58,1.04,-0.32,0.71,-0.89,1.37,-0.47,0.56,-1.21,0.84,-0.66,1.09,78.4,0
312.9,0.65,-0.23,-1.04,0.97,-0.62,1.32,-0.14,0.53,-1.19,0.77,-0.52,0.91,-1.02,0.6,-0.75,1.14,-0.88,0.33,-1.25,0.69,-0.41,1.02,-0.28,0.74,-1.03,0.57,-0.71,1.16,9.9,0
389.2,-0.34,0.88,-1.21,0.44,0.72,-1.57,0.23,-0.66,1.04,-0.29,0.58,-0.9,0.75,-1.18,0.41,-0.92,1.02,-0.46,0.88,-0.73,1.25,-0.34,0.66,-0.51,1.1,-0.72,0.83,-1.02,65.4,0
450.5,0.12,-0.57,0.89,-0.44,1.22,-0.88,0.49,-0.21,1.38,-0.6,0.73,-0.99,0.48,-0.83,1.06,-1.11,0.91,-0.27,0.72,-0.94,1.16,-0.49,0.89,-0.38,1.03,-0.66,0.57,-0.8,540.2,0
512.0,-0.76,1.02,-0.58,0.33,-1.11,0.78,-0.92,1.25,-0.42,0.96,-0.61,1.41,-0.44,0.68,-1.37,0.54,-0.8,1.15,-0.29,0.77,-0.66,1.32,-0.51,0.43,-0.98,0.61,-0.73,1.08,102.3,0
572.3,0.84,-0.31,0.66,-1.02,0.73,-0.54,0.98,-0.45,0.57,-0.83,1.23,-0.37,0.91,-0.59,1.37,-0.98,0.48,-1.15,0.66,-0.72,0.79,-0.56,1.14,-0.31,0.87,-0.69,1.02,-0.45,7.6,0
635.1,-0.29,0.76,-0.84,1.19,-0.64,0.51,-1.02,0.33,-0.71,1.25,-0.38,0.96,-0.6,1.18,-0.47,0.74,-1.03,0.59,-0.88,0.42,-0.57,1.02,-0.39,0.66,-0.74,0.95,-0.62,1.11,8.4,0
704.9,0.23,-0.67,0.74,-0.88,1.15,-0.49,0.81,-0.34,0.99,-0.72,0.55,-0.88,1.04,-0.46,0.91,-0.97,0.77,-0.62,1.18,-0.41,0.69,-0.58,1.06,-0.29,0.92,-0.71,0.58,-1.01,62.1,0
770.3,-0.62,1.19,-0.53,0.76,-0.84,1.02,-0.47,0.64,-0.28,1.31,-0.6,0.83,-1.05,0.55,-0.73,1.2,-0.92,0.41,-1.04,0.6,-0.69,1.11,-0.36,0.79,-0.97,0.63,-0.81,1.04,14.5,0
846.7,0.49,-0.28,1.18,-0.63,0.72,-0.97,1.02,-0.46,0.57,-0.89,1.4,-0.31,0.86,-0.71,1.22,-0.93,0.64,-0.79,1.03,-0.58,0.88,-0.54,1.11,-0.42,0.99,-0.67,0.76,-0.92,3.4,0
920.6,-0.45,0.64,-0.69,1.06,-0.57,0.88,-0.31,1.15,-0.48,0.72,-0.71,1.19,-0.53,0.65,-1.04,0.57,-0.98,0.42,1.21,-0.36,0.75,-0.68,1.09,-0.29,0.84,-0.6,0.92,-0.77,210.0,0
995.2,0.68,-0.44,-0.12,1.37,-0.76,0.64,-1.04,0.29,-0.55,1.11,-0.31,0.97,-0.57,0.83,-1.12,0.52,-0.84,1.06,-0.29,0.79,-0.71,1.04,-0.35,0.71,-1.02,0.6,-0.68,1.15,72.75,0
1068.9,-0.17,0.58,-0.94,0.69,-0.45,1.23,-0.29,0.66,-0.2,1.09,-0.62,0.81,-0.71,1.02,-0.48,0.9,-1.14,0.55,-0.34,0.76,-0.63,1.08,-0.41,0.97,-0.59,0.72,-0.66,1.03,15.0,0
